method,stage,policy,threshold,calib_p,calib_r,calib_f1,calib_fpr,test_p,test_r,test_f1,test_fp,test_fn,auc_roc,auc_pr
AHL-DINO,S7,current,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.07,0.9591836734693877,0.6714285714285714,0.7899159663865546,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,val_best_f1,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.07,0.9591836734693877,0.6714285714285714,0.7899159663865546,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,val_best_f1_fpr10,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.07,0.9591836734693877,0.6714285714285714,0.7899159663865546,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,recall90_fpr20,0.5104338,0.6923076923076923,0.7346938775510204,0.7128712871287128,0.16,0.8529411764705882,0.8285714285714286,0.8405797101449276,10,12,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,recall85_fpr10,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.07,0.9591836734693877,0.6714285714285714,0.7899159663865546,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,recall80_fpr10,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.07,0.9591836734693877,0.6714285714285714,0.7899159663865546,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,normal_p95,0.5928077464999999,0.8611111111111112,0.6326530612244898,0.7294117647058823,0.05,0.9555555555555556,0.6142857142857143,0.7478260869565218,2,27,0.9515079365079364,0.9117651201420736
AHL-DINO,S7,normal_p90,0.563421205,0.7674418604651163,0.673469387755102,0.7173913043478259,0.1,0.9285714285714286,0.7428571428571429,0.8253968253968255,4,18,0.9515079365079364,0.9117651201420736
AHL-DINO,S8,current,0.53998095,0.7297297297297297,0.5510204081632653,0.6279069767441859,0.1,0.9318181818181818,0.5857142857142857,0.7192982456140351,3,29,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,val_best_f1,0.4777651,0.6851851851851852,0.7551020408163265,0.7184466019417475,0.17,0.8484848484848485,0.8,0.823529411764706,10,14,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,val_best_f1_fpr10,0.53998095,0.7297297297297297,0.5510204081632653,0.6279069767441859,0.1,0.9318181818181818,0.5857142857142857,0.7192982456140351,3,29,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,recall90_fpr20,0.4777651,0.6851851851851852,0.7551020408163265,0.7184466019417475,0.17,0.8484848484848485,0.8,0.823529411764706,10,14,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,recall85_fpr10,0.53998095,0.7297297297297297,0.5510204081632653,0.6279069767441859,0.1,0.9318181818181818,0.5857142857142857,0.7192982456140351,3,29,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,recall80_fpr10,0.53998095,0.7297297297297297,0.5510204081632653,0.6279069767441859,0.1,0.9318181818181818,0.5857142857142857,0.7192982456140351,3,29,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,normal_p95,0.57889184,0.8214285714285714,0.46938775510204084,0.5974025974025974,0.05,0.9487179487179487,0.5285714285714286,0.6788990825688073,2,33,0.9361904761904762,0.8881426079716889
AHL-DINO,S8,normal_p90,0.5388974040000001,0.7297297297297297,0.5510204081632653,0.6279069767441859,0.1,0.9318181818181818,0.5857142857142857,0.7192982456140351,3,29,0.9361904761904762,0.8881426079716889
ADP-only-DINO,S7,current,1.9365781545639038,0.8108108108108109,0.6122448979591837,0.6976744186046512,0.07,0.8653846153846154,0.6428571428571429,0.7377049180327869,7,25,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,val_best_f1,1.7078936100006104,0.7058823529411765,0.7346938775510204,0.7200000000000001,0.15,0.8428571428571429,0.8428571428571429,0.8428571428571429,11,11,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,val_best_f1_fpr10,1.9365781545639038,0.8108108108108109,0.6122448979591837,0.6976744186046512,0.07,0.8653846153846154,0.6428571428571429,0.7377049180327869,7,25,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,recall90_fpr20,1.6910375356674194,0.6607142857142857,0.7551020408163265,0.7047619047619047,0.19,0.8450704225352113,0.8571428571428571,0.851063829787234,11,10,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,recall85_fpr10,1.8823786973953247,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8727272727272727,0.6857142857142857,0.768,7,22,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,recall80_fpr10,1.8823786973953247,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8727272727272727,0.6857142857142857,0.768,7,22,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,normal_p95,1.9854476988315581,0.84375,0.5510204081632653,0.6666666666666666,0.05,0.8958333333333334,0.6142857142857143,0.7288135593220338,5,27,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S7,normal_p90,1.8594346404075626,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8833333333333333,0.7571428571428571,0.8153846153846154,7,17,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,current,1.9365781545639038,0.8108108108108109,0.6122448979591837,0.6976744186046512,0.07,0.8653846153846154,0.6428571428571429,0.7377049180327869,7,25,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,val_best_f1,1.7078936100006104,0.7058823529411765,0.7346938775510204,0.7200000000000001,0.15,0.8428571428571429,0.8428571428571429,0.8428571428571429,11,11,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,val_best_f1_fpr10,1.9365781545639038,0.8108108108108109,0.6122448979591837,0.6976744186046512,0.07,0.8653846153846154,0.6428571428571429,0.7377049180327869,7,25,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,recall90_fpr20,1.6910375356674194,0.6607142857142857,0.7551020408163265,0.7047619047619047,0.19,0.8450704225352113,0.8571428571428571,0.851063829787234,11,10,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,recall85_fpr10,1.8823786973953247,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8727272727272727,0.6857142857142857,0.768,7,22,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,recall80_fpr10,1.8823786973953247,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8727272727272727,0.6857142857142857,0.768,7,22,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,normal_p95,1.9854476988315581,0.84375,0.5510204081632653,0.6666666666666666,0.05,0.8958333333333334,0.6142857142857143,0.7288135593220338,5,27,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,normal_p90,1.8594346404075626,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.1,0.8833333333333333,0.7571428571428571,0.8153846153846154,7,17,0.9690476190476192,0.9150818859353809
YOLO26s-eval,S7,current,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8955223880597015,0.8571428571428571,0.8759124087591241,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,val_best_f1,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8955223880597015,0.8571428571428571,0.8759124087591241,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,val_best_f1_fpr10,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8955223880597015,0.8571428571428571,0.8759124087591241,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,recall90_fpr20,0.12647445499897003,0.6774193548387096,0.8571428571428571,0.7567567567567567,0.2,0.7590361445783133,0.9,0.8235294117647058,20,7,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,recall85_fpr10,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8955223880597015,0.8571428571428571,0.8759124087591241,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,recall80_fpr10,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8955223880597015,0.8571428571428571,0.8759124087591241,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,normal_p95,0.24285223484039292,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.05,0.8840579710144928,0.8714285714285714,0.8776978417266188,8,9,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S7,normal_p90,0.17969839274883276,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.1,0.8611111111111112,0.8857142857142857,0.8732394366197184,10,8,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S8,current,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,val_best_f1,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,val_best_f1_fpr10,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,recall90_fpr20,0.06942477822303772,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.14,0.7857142857142857,0.9428571428571428,0.8571428571428571,18,4,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,recall85_fpr10,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,recall80_fpr10,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,normal_p95,0.40500077754259095,0.8888888888888888,0.8163265306122449,0.851063829787234,0.05,0.8985507246376812,0.8857142857142857,0.8920863309352518,7,8,0.9789682539682538,0.963753158683637
YOLO26s-eval,S8,normal_p90,0.14234526157379168,0.8,0.8163265306122449,0.8080808080808082,0.1,0.8767123287671232,0.9142857142857143,0.8951048951048951,9,6,0.9789682539682538,0.963753158683637
