backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S0,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S0,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9647619047619047,0.9046693689589801,69,39,141,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S0,,-0.6529957,0.4025974025974026,0.8857142857142857,0.5535714285714286,0.6,0.8473015873015873,0.7653125417887732,62,92,88,8
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S0,,-0.6529957,0.28,1.0,0.43750000000000006,0.28,0.2785714285714286,0.21326561271777672,70,180,0,0
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S1,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S1,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9647619047619047,0.9046693689589801,69,39,141,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S1,,0.16336134,0.5943396226415094,0.9,0.7159090909090909,0.8,0.9407142857142857,0.8925614230787714,63,43,137,7
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S1,,0.16336134,0.6095238095238096,0.9142857142857143,0.7314285714285714,0.812,0.9446825396825397,0.8967946887173156,64,41,139,6
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S1,0.7,0.44438890195913744,0.6796116504854369,1.0,0.8092485549132947,0.868,0.978015873015873,0.9323615237324557,70,33,147,0
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S1,0.7,0.44438890195913744,0.7216494845360825,1.0,0.8383233532934131,0.892,0.976031746031746,0.9248986058360635,70,27,153,0
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S2,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S2,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9647619047619047,0.9046693689589801,69,39,141,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S2,,0.18092994,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,0.8650000000000001,0.8121509754192805,67,115,65,3
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S2,,0.18092994,0.3785310734463277,0.9571428571428572,0.5425101214574899,0.548,0.8841269841269841,0.8325674182318056,67,110,70,3
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S2,0.7,0.37109095537886905,0.6666666666666666,1.0,0.8,0.86,0.9767460317460318,0.9318488352557761,70,35,145,0
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S2,0.7,0.37109095537886905,0.7142857142857143,1.0,0.8333333333333333,0.888,0.9752380952380952,0.9272561713103631,70,28,152,0
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S3,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S3,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S3,,0.28994757,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,0.930793650793651,0.8905048392978435,64,33,147,6
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S3,,0.28994757,0.7078651685393258,0.9,0.7924528301886792,0.868,0.9442063492063492,0.9040615913510222,63,26,154,7
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S3,0.6,0.5561666380512246,0.693069306930693,1.0,0.8187134502923976,0.876,0.9792063492063493,0.9359786009301923,70,31,149,0
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S3,0.6,0.5561666380512246,0.7446808510638298,1.0,0.8536585365853657,0.904,0.9784920634920635,0.9339158439209247,70,24,156,0
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S4,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S4,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S4,,0.41444522,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,0.9392063492063492,0.9040583705628493,65,36,144,5
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S4,,0.41444522,0.7078651685393258,0.9,0.7924528301886792,0.868,0.9451587301587302,0.9027564810729893,63,26,154,7
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S4,0.6,1.8614954855145847,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.948,0.9816666666666667,0.9437322724989505,69,12,168,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S4,0.6,1.8614954855145847,0.8666666666666667,0.9285714285714286,0.896551724137931,0.94,0.9785714285714286,0.9333428686163909,65,10,170,5
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S5,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S5,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S5,,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S5,,0.4376151,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.868,0.9221428571428573,0.8795529604475308,57,20,160,13
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8873239436619719,0.9,0.8936170212765958,0.94,0.98,0.9404559117205382,63,8,172,7
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S6,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S6,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S6,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S6,,0.50008345,0.7837837837837838,0.8285714285714286,0.8055555555555555,0.888,0.9318253968253969,0.8897580939920892,58,16,164,12
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.9811111111111112,0.9428923429666782,60,8,172,10
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9647619047619047,0.9046693689589801,59,11,169,11
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S7,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S7,,0.5805198,0.9487179487179487,0.5285714285714286,0.6788990825688073,0.86,0.9328571428571428,0.8999541437259194,37,2,178,33
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.9298245614035088,0.7571428571428571,0.8346456692913385,0.916,0.9826190476190476,0.951491271898498,53,4,176,17
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9647619047619047,0.9046693689589801,59,11,169,11
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S8,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S8,,0.4777651,0.873015873015873,0.7857142857142857,0.8270676691729324,0.908,0.9248412698412697,0.8886979914120792,55,8,172,15
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8709677419354839,0.7714285714285715,0.8181818181818182,0.904,0.9780158730158731,0.9360389014024447,54,8,172,16
