backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,v2_f1,v2_recall,v2_auc_pr,delta_f1_vs_v2,delta_recall_vs_v2,delta_auc_pr_vs_v2
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S0,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S0,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,-0.017039140634646177,0.0,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S0,,-0.6529957,0.4025974025974026,0.8857142857142857,0.5535714285714286,0.6,0.8473015873015873,0.7653125417887732,62,92,88,8,0.5535714285714286,0.8857142857142857,0.7653125417887732,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S0,,-0.28143865,0.2804878048780488,0.9857142857142858,0.43670886075949367,0.288,0.2785714285714286,0.21326561271777672,69,177,3,1,0.5535714285714286,0.8857142857142857,0.7653125417887732,-0.11686256781193494,0.10000000000000009,-0.5520469290709964
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S1,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S1,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,-0.017039140634646177,0.0,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S1,,0.16336134,0.5943396226415094,0.9,0.7159090909090909,0.8,0.9407142857142857,0.8925614230787714,63,43,137,7,0.7159090909090909,0.9,0.8925614230787714,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S1,,0.18079501,0.6237623762376238,0.9,0.736842105263158,0.82,0.9446825396825397,0.8967946887173156,63,38,142,7,0.7159090909090909,0.9,0.8925614230787714,0.020933014354067025,0.0,0.004233265638544204
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S1,0.7,0.44438890195913744,0.6796116504854369,1.0,0.8092485549132947,0.868,0.978015873015873,0.9323615237324557,70,33,147,0,0.8092485549132947,1.0,0.9323615237324557,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S1,0.7,0.26269099279348895,0.7,1.0,0.8235294117647058,0.88,0.976031746031746,0.9248986058360635,70,30,150,0,0.8092485549132947,1.0,0.9323615237324557,0.014280856851411117,0.0,-0.007462917896392196
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S2,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S2,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1,0.7752808988764045,0.9857142857142858,0.9150818859353809,-0.017039140634646177,0.0,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S2,,0.18092994,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,0.8650000000000001,0.8121509754192805,67,115,65,3,0.5317460317460317,0.9571428571428572,0.8121509754192805,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S2,,0.20829117,0.4155844155844156,0.9142857142857143,0.5714285714285715,0.616,0.8841269841269841,0.8325674182318056,64,90,90,6,0.5317460317460317,0.9571428571428572,0.8121509754192805,0.039682539682539764,-0.04285714285714293,0.020416442812525082
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S2,0.7,0.37109095537886905,0.6666666666666666,1.0,0.8,0.86,0.9767460317460318,0.9318488352557761,70,35,145,0,0.8,1.0,0.9318488352557761,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S2,0.7,0.13172669167224443,0.6363636363636364,1.0,0.7777777777777778,0.84,0.9752380952380952,0.9272561713103631,70,40,140,0,0.8,1.0,0.9318488352557761,-0.022222222222222254,0.0,-0.0045926639454130225
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S3,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S3,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.03919468837010065,-0.02857142857142858,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S3,,0.28994757,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,0.930793650793651,0.8905048392978435,64,33,147,6,0.7664670658682634,0.9142857142857143,0.8905048392978435,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S3,,0.2660994,0.6736842105263158,0.9142857142857143,0.7757575757575758,0.852,0.9442063492063492,0.9040615913510222,64,31,149,6,0.7664670658682634,0.9142857142857143,0.8905048392978435,0.009290509889312348,0.0,0.013556752053178633
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S3,0.6,0.5561666380512246,0.693069306930693,1.0,0.8187134502923976,0.876,0.9792063492063493,0.9359786009301923,70,31,149,0,0.8187134502923976,1.0,0.9359786009301923,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S3,0.6,0.42715787343107375,0.7216494845360825,1.0,0.8383233532934131,0.892,0.9784920634920635,0.9339158439209247,70,27,153,0,0.8187134502923976,1.0,0.9359786009301923,0.019609903001015505,0.0,-0.002062757009267502
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S4,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S4,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.03919468837010065,-0.02857142857142858,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S4,,0.41444522,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,0.9392063492063492,0.9040583705628493,65,36,144,5,0.760233918128655,0.9285714285714286,0.9040583705628493,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S4,,0.40469185,0.6702127659574468,0.9,0.7682926829268293,0.848,0.9451587301587302,0.9027564810729893,63,31,149,7,0.760233918128655,0.9285714285714286,0.9040583705628493,0.008058764798174245,-0.02857142857142858,-0.0013018894898599864
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S4,0.6,1.8614954855145847,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.948,0.9816666666666667,0.9437322724989505,69,12,168,1,0.9139072847682119,0.9857142857142858,0.9437322724989505,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S4,0.6,1.5070382841489345,0.8271604938271605,0.9571428571428572,0.8874172185430464,0.932,0.9785714285714286,0.9333428686163909,67,14,166,3,0.9139072847682119,0.9857142857142858,0.9437322724989505,-0.026490066225165476,-0.02857142857142858,-0.0103894038825596
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S5,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S5,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.03919468837010065,-0.02857142857142858,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S5,,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8,0.7898089171974522,0.8857142857142857,0.9059148331323722,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S5,,0.38591564,0.47794117647058826,0.9285714285714286,0.6310679611650486,0.696,0.9221428571428573,0.8795529604475308,65,71,109,5,0.7898089171974522,0.8857142857142857,0.9059148331323722,-0.15874095603240357,0.04285714285714293,-0.02636187268484136
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6,0.8951048951048951,0.9142857142857143,0.9410750894911254,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S5,0.35,1.7739635554171098,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.944,0.98,0.9404559117205382,64,8,172,6,0.8951048951048951,0.9142857142857143,0.9410750894911254,0.006303555599330268,0.0,-0.0006191777705871759
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S6,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S6,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.03919468837010065,-0.02857142857142858,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S6,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4,0.7951807228915663,0.9428571428571428,0.9191105517393378,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S6,,0.46203592,0.5701754385964912,0.9285714285714286,0.7065217391304348,0.784,0.9318253968253969,0.8897580939920892,65,49,131,5,0.7951807228915663,0.9428571428571428,0.9191105517393378,-0.08865898376113146,-0.014285714285714235,-0.029352457747248595
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7,0.8873239436619719,0.9,0.9470662908317473,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S6,0.35,1.6129920183176925,0.8783783783783784,0.9285714285714286,0.9027777777777779,0.944,0.9811111111111112,0.9428923429666782,65,9,171,5,0.8873239436619719,0.9,0.9470662908317473,0.015453834115806031,0.02857142857142858,-0.004173947865069083
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,0.8428571428571429,0.8428571428571429,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S7,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12,0.8428571428571429,0.8428571428571429,0.9150818859353809,-0.002277432712215255,-0.014285714285714235,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S7,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23,0.7899159663865546,0.6714285714285714,0.9117651201420736,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S7,,0.4394126,0.875,0.8,0.8358208955223881,0.912,0.9328571428571428,0.8999541437259194,56,8,172,14,0.7899159663865546,0.6714285714285714,0.9117651201420736,0.04590492913583355,0.12857142857142867,-0.01181097641615414
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11,0.8676470588235294,0.8428571428571429,0.942827778834465,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S7,0.35,1.926465871003336,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.9826190476190476,0.951491271898498,61,9,171,9,0.8676470588235294,0.8428571428571429,0.942827778834465,0.0037815126050420034,0.02857142857142858,0.008663493064033023
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,0.8428571428571429,0.8428571428571429,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S8,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12,0.8428571428571429,0.8428571428571429,0.9150818859353809,-0.002277432712215255,-0.014285714285714235,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S8,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14,0.823529411764706,0.8,0.8881426079716889,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S8,,0.58820677,0.95,0.5428571428571428,0.6909090909090908,0.864,0.9248412698412697,0.8886979914120792,38,2,178,32,0.823529411764706,0.8,0.8881426079716889,-0.13262032085561515,-0.25714285714285723,0.0005553834403903002
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12,0.8592592592592593,0.8285714285714286,0.9276070419018873,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S8,0.7,3.0358373245256813,0.864406779661017,0.7285714285714285,0.7906976744186046,0.892,0.9780158730158731,0.9360389014024447,51,8,172,19,0.8592592592592593,0.8285714285714286,0.9276070419018873,-0.06856158484065467,-0.10000000000000009,0.00843185950055747
